category,date,percent,downloads
with_mirrors,2023-09-16,0.19%,385
without_mirrors,2023-09-16,0.19%,385
with_mirrors,2023-05-27,0.19%,373
without_mirrors,2023-05-27,0.19%,373
with_mirrors,2023-09-17,0.19%,372
without_mirrors,2023-09-17,0.19%,372
with_mirrors,2023-06-04,0.19%,371
without_mirrors,2023-06-04,0.19%,371
with_mirrors,2023-05-14,0.18%,365
with_mirrors,2023-05-20,0.18%,362
with_mirrors,2023-05-21,0.18%,359
without_mirrors,2023-05-14,0.18%,359
without_mirrors,2023-05-21,0.18%,356
without_mirrors,2023-05-20,0.18%,354
with_mirrors,2023-06-03,0.17%,345
without_mirrors,2023-06-03,0.17%,344
with_mirrors,2023-05-06,0.17%,338
without_mirrors,2023-05-06,0.17%,338
with_mirrors,2023-06-24,0.17%,334
without_mirrors,2023-06-24,0.17%,334
with_mirrors,2023-05-07,0.16%,326
without_mirrors,2023-05-07,0.16%,324
with_mirrors,2023-05-13,0.15%,294
without_mirrors,2023-05-13,0.15%,292
Total,,,199335
