category,date,percent,downloads
without_mirrors,2023-05-29,0.39%,195485
with_mirrors,2023-09-02,0.39%,195086
without_mirrors,2023-09-09,0.39%,194872
without_mirrors,2023-09-02,0.39%,193938
with_mirrors,2023-05-16,0.38%,193420
with_mirrors,2023-07-03,0.38%,193125
without_mirrors,2023-05-16,0.38%,192960
with_mirrors,2023-05-17,0.38%,191622
with_mirrors,2023-07-04,0.38%,191425
without_mirrors,2023-05-17,0.38%,191397
without_mirrors,2023-07-03,0.38%,190594
with_mirrors,2023-08-06,0.38%,190512
without_mirrors,2023-07-04,0.38%,189269
without_mirrors,2023-08-06,0.37%,188768
with_mirrors,2023-05-19,0.37%,188629
with_mirrors,2023-05-18,0.37%,188399
without_mirrors,2023-05-19,0.37%,188251
without_mirrors,2023-05-18,0.37%,188050
with_mirrors,2023-08-05,0.37%,187332
with_mirrors,2023-10-21,0.37%,186561
without_mirrors,2023-08-05,0.37%,185709
with_mirrors,2023-10-22,0.37%,184532
without_mirrors,2023-10-21,0.36%,183154
without_mirrors,2023-10-22,0.36%,182599
with_mirrors,2023-06-04,0.36%,181657
without_mirrors,2023-06-04,0.36%,181599
with_mirrors,2023-06-03,0.36%,178742
without_mirrors,2023-06-03,0.35%,178687
with_mirrors,2023-06-18,0.34%,173013
with_mirrors,2023-05-10,0.34%,172989
without_mirrors,2023-06-18,0.34%,172879
with_mirrors,2023-05-15,0.34%,172691
with_mirrors,2023-08-27,0.34%,172425
without_mirrors,2023-05-15,0.34%,172232
without_mirrors,2023-05-10,0.34%,172231
with_mirrors,2023-06-17,0.34%,172156
without_mirrors,2023-06-17,0.34%,171899
with_mirrors,2023-05-07,0.34%,171592
without_mirrors,2023-05-07,0.34%,170953
with_mirrors,2023-05-11,0.34%,170439
without_mirrors,2023-08-27,0.34%,170280
without_mirrors,2023-05-11,0.34%,169887
with_mirrors,2023-08-26,0.32%,162737
with_mirrors,2023-07-23,0.32%,161539
without_mirrors,2023-08-26,0.32%,161297
without_mirrors,2023-07-23,0.32%,160597
with_mirrors,2023-05-06,0.32%,160548
without_mirrors,2023-05-06,0.32%,159948
with_mirrors,2023-05-12,0.31%,155132
without_mirrors,2023-05-12,0.31%,154887
with_mirrors,2023-06-10,0.31%,154702
