category,date,percent,downloads
with_mirrors,2023-05-30,0.26%,60793
without_mirrors,2023-05-30,0.25%,60261
with_mirrors,2023-06-02,0.25%,60241
without_mirrors,2023-05-24,0.25%,60017
with_mirrors,2023-05-25,0.25%,59774
without_mirrors,2023-05-25,0.25%,58992
without_mirrors,2023-06-02,0.25%,58948
with_mirrors,2023-07-09,0.25%,58584
without_mirrors,2023-07-09,0.24%,57718
with_mirrors,2023-07-08,0.24%,57483
without_mirrors,2023-07-08,0.24%,56401
with_mirrors,2023-06-25,0.23%,55566
without_mirrors,2023-06-25,0.23%,54891
with_mirrors,2023-05-26,0.23%,54722
without_mirrors,2023-05-26,0.23%,53918
with_mirrors,2023-05-22,0.23%,53887
without_mirrors,2023-05-22,0.23%,53499
with_mirrors,2023-05-16,0.23%,53388
without_mirrors,2023-05-16,0.22%,52532
with_mirrors,2023-05-17,0.22%,51970
without_mirrors,2023-05-17,0.22%,51291
with_mirrors,2023-05-10,0.21%,50921
with_mirrors,2023-06-24,0.21%,50575
with_mirrors,2023-05-29,0.21%,50563
with_mirrors,2023-07-02,0.21%,50130
with_mirrors,2023-05-15,0.21%,49922
without_mirrors,2023-05-29,0.21%,49730
without_mirrors,2023-05-10,0.21%,49614
without_mirrors,2023-07-02,0.21%,49555
with_mirrors,2023-05-09,0.21%,49482
without_mirrors,2023-06-24,0.21%,49417
with_mirrors,2023-05-11,0.21%,48905
with_mirrors,2023-05-18,0.20%,48316
without_mirrors,2023-05-15,0.20%,48131
without_mirrors,2023-05-18,0.20%,47976
without_mirrors,2023-05-11,0.20%,47961
without_mirrors,2023-05-09,0.20%,47720
with_mirrors,2023-05-19,0.20%,46436
without_mirrors,2023-05-19,0.19%,45585
with_mirrors,2023-07-01,0.19%,45257
without_mirrors,2023-07-01,0.19%,44567
with_mirrors,2023-05-08,0.18%,43294
with_mirrors,2023-06-17,0.18%,43280
without_mirrors,2023-06-17,0.18%,42916
with_mirrors,2023-05-12,0.18%,42879
without_mirrors,2023-05-08,0.18%,42374
with_mirrors,2023-06-18,0.18%,42328
without_mirrors,2023-05-12,0.18%,41823
without_mirrors,2023-06-18,0.18%,41618
with_mirrors,2023-06-10,0.13%,31484
without_mirrors,2023-06-10,0.13%,31297
with_mirrors,2023-06-11,0.13%,31036
with_mirrors,2023-06-04,0.13%,30527
without_mirrors,2023-06-04,0.13%,30426
without_mirrors,2023-06-11,0.13%,30029
