category,date,percent,downloads
with_mirrors,2023-06-05,0.34%,10715
with_mirrors,2023-05-16,0.34%,10598
with_mirrors,2023-05-11,0.34%,10593
with_mirrors,2023-06-23,0.34%,10588
without_mirrors,2023-06-12,0.34%,10562
with_mirrors,2023-05-10,0.34%,10486
without_mirrors,2023-06-22,0.33%,10477
with_mirrors,2023-07-22,0.33%,10369
with_mirrors,2023-05-30,0.33%,10349
without_mirrors,2023-05-16,0.33%,10343
without_mirrors,2023-07-22,0.33%,10323
without_mirrors,2023-06-05,0.33%,10249
without_mirrors,2023-05-10,0.33%,10237
with_mirrors,2023-07-15,0.33%,10191
without_mirrors,2023-05-11,0.33%,10180
without_mirrors,2023-05-30,0.32%,10156
with_mirrors,2023-06-09,0.32%,10120
without_mirrors,2023-07-15,0.32%,10119
with_mirrors,2023-05-15,0.32%,10092
without_mirrors,2023-06-09,0.32%,10091
with_mirrors,2023-06-02,0.32%,10008
without_mirrors,2023-06-23,0.32%,9983
with_mirrors,2023-06-01,0.32%,9879
with_mirrors,2023-05-26,0.31%,9849
without_mirrors,2023-05-26,0.31%,9758
without_mirrors,2023-06-02,0.31%,9747
without_mirrors,2023-05-15,0.31%,9736
with_mirrors,2023-07-23,0.31%,9718
without_mirrors,2023-06-01,0.30%,9534
without_mirrors,2023-07-23,0.30%,9518
with_mirrors,2023-05-22,0.30%,9490
with_mirrors,2023-05-25,0.30%,9444
without_mirrors,2023-05-22,0.30%,9342
with_mirrors,2023-07-16,0.30%,9249
with_mirrors,2023-05-09,0.29%,9192
without_mirrors,2023-07-16,0.29%,9099
with_mirrors,2023-05-08,0.29%,9043
with_mirrors,2023-05-18,0.29%,8977
without_mirrors,2023-05-09,0.29%,8949
without_mirrors,2023-05-25,0.28%,8869
without_mirrors,2023-05-18,0.28%,8839
with_mirrors,2023-05-17,0.28%,8801
with_mirrors,2023-05-12,0.28%,8766
without_mirrors,2023-05-08,0.28%,8728
without_mirrors,2023-05-17,0.28%,8717
with_mirrors,2023-07-09,0.27%,8560
with_mirrors,2023-05-19,0.27%,8518
without_mirrors,2023-05-12,0.27%,8492
with_mirrors,2023-08-13,0.27%,8403
with_mirrors,2023-07-08,0.27%,8349
without_mirrors,2023-05-19,0.26%,8266
